time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1760795246996871000,4633.871870849609,1081.7094040975323,0.31545081525498636,1.4763675988799396,46.981239442784045,1033.4908333883038,252.1544649104298,8.001208273680877,4.8830342292785645,8.384311254410159,31.65804672241211
1760795247996860000,4634.871859863281,1081.174091341638,0.2797351812497968,2.7244745223732187,46.9811650418494,1032.9555206324094,251.78762911048673,8.001208273680877,4.873509883880615,8.38389666254148,32.53099060058594
1760795248996848600,4635.8718486328125,1080.7982511079724,0.22045779307097405,1.000000007346887,46.981083122511286,1032.579680398744,251.78049839299325,8.001208273680877,4.857698917388916,8.38349228126225,32.698848724365234
1760795249996838100,4636.871838134765,1080.416285383649,0.24848987039360096,1.000000007346887,46.98099062265534,1032.1977146744205,249.97227411212407,8.001208273680877,4.843999862670898,8.383087832402422,32.698848724365234
1760795250996827100,4637.871827148438,1080.070566450347,0.11444173583692124,1.000000007346887,46.98088976147235,1031.8519957411186,248.8217970483271,8.001208273680877,4.859609603881836,8.382684945382774,32.698848724365234
1760795251996816600,4638.87181665039,1079.9982011219413,0.21260814123972477,1.000000007346887,46.98077965650706,1031.7796304127128,248.0481825021748,8.001208273680877,4.859799861907959,8.382320490023435,32.6862678527832
1760795252996805000,4639.871805175781,1080.0061712129075,0.30761188320854693,2.8177710570340158,46.98067918864989,1031.787600503679,247.78855335144428,8.001208273680877,4.852543830871582,8.381938472891084,31.066131591796875
1760795253996794000,4640.871794189453,1080.143591310022,0.2792378343187822,3.528434729258957,46.980585986586036,1031.9250206007935,248.84318920080761,8.001208273680877,4.844313621520996,8.381566503689134,31.066131591796875
1760795254996783600,4641.871783691407,1080.337311120457,0.19960099368779746,1.000000007346887,46.98046654039164,1032.1187404112284,249.29660447866974,8.001208273680877,4.795629501342773,8.381216024540802,30.19535255432129
1760795255996773000,4642.871773193359,1080.5970699972038,0.22718756052617206,1.0925587744400782,46.98037789227301,1032.3784992879753,249.8206165917931,8.001208273680877,4.7777605056762695,8.380841420555273,29.734844207763672
1760795256996761600,4643.87176171875,1081.0205987332204,0.1858512189373574,1.000000007346887,46.980283801762646,1032.8020280239919,250.2384602444578,8.001208273680877,4.7792181968688965,8.380470986432913,29.703269958496094
1760795257996751400,4644.871751464843,1081.0390316064677,0.15717449866309408,1.000000007346887,46.98019921247018,1032.8204608972392,249.60418155737375,8.001208273680877,4.770928859710693,8.380095381144153,29.536775588989258
1760795258996740600,4645.871740722656,1080.8544462897835,0.240837216924805,1.000000007346887,46.98010259114033,1032.635875580555,248.44960638007478,8.001208273680877,4.7707438468933105,8.379730306047527,29.637317657470703
1760795259996729900,4646.871729736328,1080.578045795738,0.2738749138968196,2.2370933325797684,46.98000037127349,1032.3594750865095,247.31934667622107,8.001208273680877,4.750824451446533,8.379373072503235,29.536775588989258
1760795260996717600,4647.871717529297,1080.1941913927553,0.2761702897648186,1.000000007346887,46.97990232910734,1031.9756206835268,246.9375117808607,8.001208273680877,5.012684345245361,8.379013842131679,29.506851196289062
1760795261996707000,4648.87170703125,1079.7525349019893,0.23155079622846364,1.000000007346887,46.97980373012898,1031.5339641927608,246.58294300066697,8.001208273680877,4.933305740356445,8.378655144863787,29.263635635375977
1760795262996696600,4649.871696533203,1079.1695062352987,0.2341900652191879,1.4325470090367842,46.97968650262719,1030.9509355260702,246.4956805038309,8.001208273680877,4.886500835418701,8.378310473834885,29.157989501953125
1760795263996685800,4650.871685791016,1078.609544401821,0.2336586415539732,1.000000007346887,46.979574839870935,1030.3909736925925,246.58581168011838,8.001208273680877,4.868824005126953,8.377957838577577,29.383899688720703
1760795264996674300,4651.871674316406,1077.8399869392185,0.23128872817739643,1.000000007346887,46.97946716452177,1029.62141622999,246.93663751664693,8.001208273680877,4.865366458892822,8.377589558619228,29.383899688720703
1760795265996664600,4652.871664550781,1076.8659251104082,0.28180754552256293,1.77291465227482,46.97936406013908,1028.6473544011797,246.88155887117995,8.001208273680877,4.866939067840576,8.377229751089178,29.640695571899414
1760795266996653000,4653.871653076172,1076.066376888985,0.19815202363251735,1.000000007346887,46.9792632621506,1027.8478061797564,247.9566852880533,8.001208273680877,4.900409698486328,8.376865031704469,29.97880744934082
1760795267996642000,4654.871642089844,1075.608191554247,0.22867268275778696,1.000000007346887,46.97916371152604,1027.3896208450185,249.1266693721198,8.001208273680877,4.924132347106934,8.376507803133366,30.316774368286133
1760795268996631800,4655.8716318359375,1075.1832500787882,0.20237279042880874,1.000000007346887,46.97906770730048,1026.9646793695597,250.24277692401324,8.001208273680877,4.956964492797852,8.376114580214082,30.316774368286133
1760795269996623600,4656.871623535157,1074.7742797510532,0.2800201707199276,1.5447589357833391,46.97898817518769,1026.5557090418247,252.19260468675515,8.001208273680877,4.959991455078125,8.375750047753701,30.265790939331055
1760795270996609800,4657.871609863281,1074.1694701869985,0.34956503432412517,2.194182248258,46.9789044026682,1025.95089947777,252.27005903194308,8.001208273680877,4.900946617126465,8.375380355368703,29.928197860717773
1760795271996598000,4658.871597900391,1073.5857247095003,0.27292859540354764,1.382134578844373,46.9788356827959,1025.3671540002717,252.3457648487035,8.001208273680877,4.886866092681885,8.375012009575498,29.916933059692383
1760795272996588000,4659.871588134765,1073.0616823944238,0.2720068151640495,1.4116427946438923,46.978752083326384,1024.8431116851953,252.3091823555089,8.001208273680877,4.846330165863037,8.374643450070705,29.664161682128906
1760795273996576800,4660.871576660156,1072.502395028257,0.2223849567877498,1.000000007346887,46.97855371419985,1024.2838243190286,247.95330810546875,14.273273731110638,4.85728120803833,8.37433758635111,29.664161682128906
1760795274996565800,4661.871565673828,1071.9751989551376,0.18720443596431421,1.000000007346887,46.97845584067099,1023.756628245909,247.7845458984375,16.20894323035832,4.857960224151611,8.373985940247767,29.55126953125
1760795275996555800,4662.871555664063,1071.4419706390406,0.29409450407522314,1.724445051899645,46.97835197604288,1023.2233999298121,247.7845458984375,17.65886672187915,4.998291492462158,8.37361436119706,29.55126953125
1760795276996544800,4663.871544677734,1070.8196503010788,0.249772445113084,1.000000007346887,46.97822874035877,1022.6010795918503,240.23165893554688,23.023475214843867,5.082467555999756,8.373279670699395,29.848241806030273
1760795277996533800,4664.8715336914065,1070.1003365374333,0.29642075369927806,1.847152084633021,46.97809068400255,1021.8817658282048,240.5075225830078,27.599129619958873,5.059861660003662,8.372924952466693,30.902799606323242
1760795278996523300,4665.871523193359,1069.462739029815,0.23517909398441375,3.8180608659217388,46.977953643352905,1021.2441683205866,239.26341247558594,31.073153650531054,5.044111251831055,8.372577164329641,31.09808349609375
1760795279996512000,4666.8715119628905,1068.9192944897477,0.2691428108292668,2.4819396363011057,46.97781130010375,1020.7007237805192,239.11544799804688,34.08482772039991,5.0379557609558105,8.372237699448274,31.09808349609375
1760795280996500000,4667.8715,1068.6248007820232,0.214892815275783,1.000000007346887,46.97766349552836,1020.4062300727946,238.68569946289062,35.0006711473096,5.013873100280762,8.371882587248026,31.189531326293945
1760795281996490000,4668.871489990234,1068.5923942557351,0.24148202250139114,1.000000007346887,46.97753047596418,1020.3738235465066,235.09158325195312,35.42972195560681,4.986114501953125,8.371582348206152,31.189531326293945
1760795282996478500,4669.871478515625,1068.8310821771436,0.23174312600956345,1.0365692736751835,46.97737973419378,1020.612511467915,234.54762268066406,40.200366706441876,4.997593402862549,8.371272646126483,29.940893173217773
1760795283996468500,4670.871468505859,1069.3911071937237,0.26048204396081076,1.1013298145147146,46.977243849558974,1021.1725364844951,234.54762268066406,43.4490344149555,4.979848384857178,8.370944459168275,29.940893173217773
1760795284996458000,4671.871458007812,1070.0319227924106,0.3273190864612684,1.4523197676109132,46.97742257848152,1021.813352083182,242.38453500088687,8.001208273680877,4.981094837188721,8.370284995461795,29.453718185424805
1760795285996446200,4672.871446289062,1070.6077234387005,0.38015913536146445,1.3961603277303039,46.97732561499512,1022.389152729472,243.11296101549038,8.001208273680877,4.968571186065674,8.369950372568404,29.42840003967285
1760795286996436200,4673.871436279297,1071.3036112215432,0.3057551629074258,1.4477680755248303,46.97720648417716,1023.0850405123147,242.52214965228427,8.001208273680877,4.935640811920166,8.369605568476391,28.95838737487793
1760795287996424200,4674.871424072266,1071.7177876024443,0.23997226620658998,1.000000007346887,46.97709941041433,1023.4992168932158,242.2087532524074,8.001208273680877,4.9242024421691895,8.369263247095171,28.394662857055664
1760795288996414200,4675.871414306641,1071.9769190198263,0.26218522192473437,1.000000007346887,46.97696300394219,1023.7583483105977,241.57980211287597,8.001208273680877,4.934268951416016,8.368917750285108,28.86449432373047
1760795289996403200,4676.871403320312,1072.1537652564127,0.28068724598232847,1.000000007346887,46.9768249065397,1023.9351945471842,240.8219789640847,8.001208273680877,4.919344902038574,8.368572069546198,28.86449432373047
1760795290996392200,4677.8713920898435,1072.4885035802226,0.22825328733974523,1.000000007346887,46.976686519293324,1024.2699328709941,239.94735958048622,8.001208273680877,4.918942451477051,8.3682472812269,28.88151741027832
1760795291996381700,4678.871381591797,1072.861273552849,0.21245181505074764,1.000000007346887,46.97654334044898,1024.6427028436206,239.23346820843648,8.001208273680877,4.945056438446045,8.36790954900497,28.96583366394043
1760795292996370400,4679.871370361328,1073.102771057571,0.192403017716103,1.000000007346887,46.97640576516931,1024.8842003483426,238.01190253575805,8.001208273680877,4.961894512176514,8.367624146495965,28.85019302368164
1760795293996360000,4680.871359863281,1073.4229168733416,0.12051954181413799,1.000000007346887,46.97626117863565,1025.204346164113,236.87369249171044,6.000906205260658,4.973958969116211,8.367301068512583,28.85019302368164
1760795294996349700,4681.871349609375,1073.680071617355,0.1881261047856788,1.000000007346887,46.97612630617727,1025.4615009081265,237.25216693399918,6.000906205260658,4.941808700561523,8.366985352860393,28.797428131103516
1760795295996338400,4682.871338378906,1073.9544718245977,0.2068218575819289,1.000000007346887,46.97598995564257,1025.7359011153692,237.96447370216148,6.000906205260658,4.988765239715576,8.366682692231542,28.530881881713867
1760795296996327700,4683.871327636719,1074.4047707769548,0.19737869270474867,1.000000007346887,46.9758615085524,1026.1862000677263,238.09954752318765,6.000906205260658,5.019295692443848,8.366366795381804,28.530881881713867
1760795297996317000,4684.871316894531,1074.7961097115106,0.201051370398071,1.000000007346887,46.975728068126735,1026.577539002282,239.10779272770824,6.000906205260658,4.985105991363525,8.366036036836483,29.07725715637207
1760795298996304600,4685.8713046875,1074.8837958075303,0.2282151912697467,1.3830483375867086,46.97560331805715,1026.6652250983018,240.40200429239894,6.000906205260658,4.961211204528809,8.365696363922709,29.289087295532227
1760795299996294100,4686.871294189453,1074.6744944871684,0.21306160526529774,1.0641704844719824,46.97549298837789,1026.45592377794,240.44211116320528,6.000906205260658,4.958656311035156,8.365346749472153,29.289087295532227
1760795300996283600,4687.8712836914065,1074.3317976594528,0.2748499493444659,1.9259754893851824,46.97534952147998,1026.1132269502243,240.96421082336104,6.000906205260658,4.984860420227051,8.365031858336508,29.56841468811035
